,NIP,Cl_P
309,N201402464,0
310,N201402594,3
311,N201402654,2
312,N201402747,2
313,N201402857,1
314,N201402874,0
315,N201403201,2
316,N201403231,2
317,N201403279,0
318,N201403653,0
319,N201403674,1
320,N201403696,1
321,N201403736,1
322,N201403762,3
323,N201403835,1
324,N201403891,2
325,N201403980,2
326,N201404118,2
327,N201404293,1
328,N201404316,0
329,N201404524,0
330,N201404628,2
331,N201405144,2
332,N201405146,3
333,N201405421,0
334,N201405518,3
335,N201405645,2
336,N201405678,0
337,N201405759,1
338,N201405805,3
339,N201405917,1
340,N201405973,1
341,N201406074,1
342,N201406431,2
343,N201406560,0
344,N201406618,0
345,N201406988,0
346,N201407093,2
347,N201407205,0
348,N201407417,2
349,N201500243,0
350,N201500260,0
351,N201500553,0
352,N201500660,2
353,N201500687,0
354,N201500989,2
355,N201501000,2
356,N201501680,1
357,N201501685,0
358,N201501780,0
359,N201501828,1
360,N201501838,2
361,N201502403,1
362,N201502433,0
363,N201502590,2
364,N201502608,2
365,N201502656,1
366,N201502664,0
367,N201502685,1
368,N201502761,2
369,N201502816,2
370,N201502877,2
371,N201503003,2
372,N201503005,2
373,N201503063,0
374,N201503079,1
375,N201503259,2
376,N201503276,2
377,N201503290,3
378,N201503480,2
379,N201503587,0
380,N201503772,2
381,N201503922,2
382,N201503946,1
383,N201503990,2
384,N201504019,2
385,N201504059,1
386,N201504157,0
387,N201504209,0
388,N201504281,1
389,N201504323,2
390,N201504609,2
391,N201504689,2
392,N201504699,0
393,N201504734,2
394,N201504869,2
395,N201505251,1
396,N201505285,2
397,N201505396,0
398,N201505403,0
399,N201505424,0
400,N201505459,0
401,N201505473,1
402,N201505539,1
403,N201505757,0
404,N201505841,0
405,N201505939,2
406,N201505996,2
407,N201506292,0
408,N201506332,2
409,N201506622,0
410,N201506720,2
411,N201506765,1
412,N201506798,2
413,N201506850,1
414,N201506900,1
415,N201507075,0
416,N201507158,0
417,N201600106,0
418,N201600339,2
419,N201600360,2
420,N201600522,0
421,N201600568,0
422,N201600593,1
423,N201600638,2
424,N201600746,0
425,N201600921,2
426,N201601044,0
427,N201601079,1
428,N201601143,0
429,N201601193,3
430,N201601334,2
431,N201601414,2
432,N201601477,2
433,N201601495,0
434,N201601533,0
435,N201601545,0
436,N201601580,2
437,N201601632,3
438,N201601699,1
439,N201601725,2
440,N201601749,1
441,N201601947,3
442,N201602001,0
443,N201602132,2
444,N201602241,3
445,N201602255,2
446,N201602351,1
447,N201602410,2
448,N201602437,1
449,N201602438,0
450,N201602601,0
451,N201602690,2
452,N201602829,0
453,N201602880,2
454,N201602884,1
455,N201602947,0
456,N201602978,0
457,N201602984,0
458,N201603059,2
459,N201603181,2
460,N201603355,2
461,N201603432,0
462,N201604050,1
463,N201604116,2
464,N201604178,2
465,N201604379,2
466,N201604424,0
467,N201604425,1
468,N201604466,0
469,N201604693,0
470,N201604744,3
471,N201604865,1
472,N201604900,1
473,N201605319,2
474,N201605504,3
475,N201605558,3
476,N201605563,1
477,N201605571,2
478,N201605613,0
479,N201605653,1
480,N201605700,1
481,N201605814,2
482,N201605830,3
483,N201605997,0
484,N201606026,2
485,N201606140,2
486,N201606233,2
487,N201606239,0
488,N201606262,0
489,N201606277,2
490,N201606340,2
491,N201606342,0
492,N201606455,2
493,N201606838,2
494,N201606896,3
495,N201607001,0
496,N201700027,0
497,N201700132,0
498,N201700156,0
499,N201700195,0
500,N201700263,0
501,N201700324,0
502,N201700487,2
503,N201700699,0
504,N201700726,2
505,N201700788,0
506,N201700809,2
507,N201700829,1
508,N201700888,0
509,N201700901,2
510,N201701045,1
511,N201701219,2
512,N201701289,3
513,N201701403,2
514,N201701408,2
515,N201701489,1
516,N201701493,0
517,N201701530,2
518,N201701589,1
